Model,Mean training accuracy,Mean validation accuracy

Baseline,0.9786185145378112,0.914599996805191

Variant_Learning Rate,0.9820148110389709,0.9172416627407074

Variant_Dropout,0.9578697482744852,0.91789444287618

Variant_Softpool,0.9786185145378112,0.9151166796684265

Variant_Leaky_ReLU,0.9766351789236069,0.91644167304039

