Model,Mean training accuracy,Mean validation accuracy
Baseline,0.9785944402217865,0.9140333294868469
Variant_Learning Rate,0.981787034869194,0.9161333322525025
Variant_Dropout,0.9576358020305633,0.9168833315372467
Variant_Softpool,0.9628393530845643,0.9172250002622604
Variant_Leaky_ReLU,0.9653188908100128,0.9169733333587646
